"reference_id","source","source_section","source_page","proposed_category","product_name_verbatim","variant","size","dimension","material","additional_specification","customisation_availability","current_availability","manufacturing_status","verification_status","notes"
"REF-001","Written user brief","Paper Courier Bags","CONTENT REQUIRED","Paper Courier Bags","Plain Paper Courier Bag","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-002","Written user brief","Paper Courier Bags","CONTENT REQUIRED","Paper Courier Bags","Myntra Paper Courier Bag","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-003","Written user brief","Paper Courier Bags","CONTENT REQUIRED","Paper Courier Bags","Flipkart Paper Courier Bag","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-004","Written user brief","Paper Courier Bags","CONTENT REQUIRED","Paper Courier Bags","Amazon Paper Courier Bag","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-005","Written user brief","Paper Courier Bags","CONTENT REQUIRED","Paper Courier Bags","Customised Paper Courier Bag","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-006","Written user brief","Corrugated Boxes","CONTENT REQUIRED","Corrugated Boxes","Plain Corrugated Boxes","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-007","Written user brief","Corrugated Boxes","CONTENT REQUIRED","Corrugated Boxes","Flipkart Corrugated Boxes","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-008","Written user brief","Corrugated Boxes","CONTENT REQUIRED","Corrugated Boxes","Amazon Corrugated Boxes","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-009","Written user brief","Corrugated Boxes","CONTENT REQUIRED","Corrugated Boxes","Customised Corrugated Boxes","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-010","Written user brief","Plastic Courier Bags","CONTENT REQUIRED","Plastic Courier Bags","Plain Plastic Courier Bag","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-011","Written user brief","Plastic Courier Bags","CONTENT REQUIRED","Plastic Courier Bags","Flipkart Plastic Courier Bag","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-012","Written user brief","Plastic Courier Bags","CONTENT REQUIRED","Plastic Courier Bags","Amazon Plastic Courier Bag","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-013","Written user brief","Plastic Courier Bags","CONTENT REQUIRED","Plastic Courier Bags","Snapdeal Plastic Courier Bag","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-014","Written user brief","Plastic Courier Bags","CONTENT REQUIRED","Plastic Courier Bags","Meesho Plastic Courier Bag","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-015","Written user brief","Plastic Courier Bags","CONTENT REQUIRED","Plastic Courier Bags","Customised Plastic Courier Bag","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-016","Written user brief","Sticker Labels","CONTENT REQUIRED","Sticker Labels","Direct Thermal Labels","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-017","Written user brief","Sticker Labels","CONTENT REQUIRED","Sticker Labels","A4 ST1","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-018","Written user brief","Sticker Labels","CONTENT REQUIRED","Sticker Labels","A4 ST2","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-019","Written user brief","Sticker Labels","CONTENT REQUIRED","Sticker Labels","A4 ST4","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-020","Written user brief","Sticker Labels","CONTENT REQUIRED","Sticker Labels","A4 ST40","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
