"catalogue_id","category_verbatim","product_verbatim","variant_reference","size_dimension_verbatim","specification_verbatim","material_explicit","customisation_reference","catalogue_page","presence_status","current_business_status","evidence_basis","notes"
"CAT-001","Paper Courier Bags","PLAIN PAPER COURIER BAG","Not separately stated; named options retained as source product blocks","(Contact Us)","Not stated","Not separately stated","Not stated","5","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-002","Paper Courier Bags","MYNTRA PAPER COURIER BAG","Not separately stated; named options retained as source product blocks","8x10”; 13x15”; 14x17”; 21x18”; 23x20”","Not stated","Not separately stated","Not stated","5","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-003","Paper Courier Bags","FLIPKART PAPER COURIER BAG","Not separately stated; named options retained as source product blocks","7x9” (Lip Seal); 6x8” (+2” Flap Seal); 9.2x12.5” (Lip Seal); 8x10” (+2” Flap Seal); 10x13” (+2” Flap Seal); 11x15” (Lip Seal); 12x16” (+2” Flap Seal); 14x16” (Lip Seal); 14x18” +2” (Flap Seal); 15x19.5” (Lip Seal); 17x22” (+2” Lip Seal)","Lip Seal / Flap Seal as written","Not separately stated","Not stated","5","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text","Two columns transcribed left then right; dimension order unspecified; final +2” Lip Seal retained"
"CAT-004","Paper Courier Bags","AMAZON PAPER COURIER BAG","Not separately stated; named options retained as source product blocks","(Contact Us)","Not stated","Not separately stated","Not stated","6","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-005","Paper Courier Bags","PAPER COURIER BAG (CUSTOMISE)","Not separately stated; named options retained as source product blocks","(Contact Us)","Not stated","Not separately stated","CUSTOMISE","6","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-006","Corrugated Boxes","PLAIN CORRUGATED BOXES","Not separately stated; named options retained as source product blocks","5x5x2”; 7.5x4.5x3.5”; 5x5x2”; 8x6x2”; 9x5x4”; 5x5x7”; 10.25x6x1”; 2.5x2.5x9”","AVAILABLE SIZES (LxBxH)","Not separately stated","Not stated","8","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text","Duplicate 5x5x2” retained"
"CAT-007","Corrugated Boxes","FLIPAKRT CORRUGATED BOXES","Not separately stated; named options retained as source product blocks","7.5x4.5x3.5”; 8x5x2”","AVAILABLE SIZES (LxBxH)","Not separately stated","Not stated","8","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text","FLIPAKRT spelling preserved"
"CAT-008","Corrugated Boxes","AMAZON CORRUGATED BOXES","Not separately stated; named options retained as source product blocks","(Contact Us)","AVAILABLE SIZES (LxBxH)","Not separately stated","Not stated","8","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-009","Corrugated Boxes","CUSTOMISE CORRUGATED BOXES","Not separately stated; named options retained as source product blocks","(Customise)","AVAILABLE SIZES (LxBxH)","Not separately stated","CUSTOMISE","9","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text","PDF text layer contains $189 not visible in rendered page; not an approved price"
"CAT-010","PLASTIC COURIER BAGS","PLAIN PLASTIC COURIER BAG","Not separately stated; named options retained as source product blocks","6x8” (+2” Flap Seal); 8x10” (+2” Flap Seal); 10x12” (+2” Flap Seal); 10x14” (+2” Flap Seal); 12x14” (+2” Flap Seal); 12x16” (+2” Flap Seal); 14x16” (+2” Flap Seal); 6x9” (+2” Flap Seal); 15x19” (+2” Flap Seal); 18x23” (+2” Flap Seal); 8x10” (+2” Flap Seal); 10x12” (+2” Flap Seal); 10x14” (+2” Flap Seal); 12x14” (+2” Flap Seal); 12x16” (+2” Flap Seal); 14x16” (+2” Flap Seal); 15x19” (+2” Flap Seal); 18x23” (+2” Flap Seal)","Flap Seal","Not separately stated","Not stated","11","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text","18 printed size entries, 10 distinct; duplicates retained in two-column order"
"CAT-011","PLASTIC COURIER BAGS","FLIPKART PLASTIC COURIER BAG","Not separately stated; named options retained as source product blocks","6x8” (+2” Flap Seal); 8x10” (+2” Flap Seal); 10x12” (+2” Flap Seal); 10x14” (+2” Flap Seal); 12x16” (+2” Flap Seal); 14x18” (+2” Flap Seal)","Flap Seal","Not separately stated","Not stated","11","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-012","PLASTIC COURIER BAGS","AMAZON PLASTIC COURIER BAG","Not separately stated; named options retained as source product blocks","6x8” (+2” Flap Seal); 8x10” (+2” Flap Seal); 10x12” (+2” Flap Seal); 10x14” (+2” Flap Seal); 12x16” (+2” Flap Seal); 14x18” (+2” Flap Seal); 16x20”; 18x22”","Flap Seal where explicitly stated","Not separately stated","Not stated","11","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-013","PLASTIC COURIER BAGS","SNAPDEAL PLASTIC COURIER BAG","Not separately stated; named options retained as source product blocks","6x8” (+2” Flap Seal); 8x10” (+2” Flap Seal); 10x12” (+2” Flap Seal); 12x16” (+2” Flap Seal); 14x18”; 16x20”","Flap Seal where explicitly stated","Not separately stated","Not stated","12","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-014","PLASTIC COURIER BAGS","MEESHO PLASTIC COURIER BAG (Sequential Barcode)","Not separately stated; named options retained as source product blocks","6x8” (+2” Flap Seal); 8x10” (+2” Flap Seal); 10x12” (+2” Flap Seal); 10x14” (+2” Flap Seal); 12x16” (+2” Flap Seal); 14x18” (+2” Flap Seal)","Sequential Barcode; Flap Seal in text layer","Not separately stated","Not stated","12","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Title visually inspected; full name/sizes from non-visible PDF text layer","Rendered title omits BAG and size block is not visible; six sizes present in PDF text layer only; requires verification"
"CAT-015","PLASTIC COURIER BAGS","CUSTOMISE PLASTIC COURIER BAG","Not separately stated; named options retained as source product blocks","(Contact Us)","Not stated","Not separately stated","CUSTOMISE","12","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-016","STICKER LABEL","DIRECT THERMAL LABEL","Not separately stated; named options retained as source product blocks","100 X 150MM","400 Label Roll (100 X 150MM)","Not separately stated","Not stated","14","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text","400 is catalogue label-roll wording, not verified MOQ"
"CAT-017","STICKER LABEL","DIRECT THERMAL LABEL","Not separately stated; named options retained as source product blocks","(Contact Us)","Not stated","Not separately stated","Not stated","14","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text","Second separate block shares same title; variant unspecified"
"CAT-018","STICKER LABEL","A4 ST1","Not separately stated; named options retained as source product blocks","8” X 11.5”","Self Adhesive Label Sheets; Sheet Size A4 Label Size : 8” X 11.5”","Not separately stated","Not stated","14","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-019","STICKER LABEL","A4 ST2","Not separately stated; named options retained as source product blocks","8” X 5.5”","Self Adhesive Label Sheets; Sheet Size A4 Label Size : 8” X 5.5”","Not separately stated","Not stated","15","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-020","STICKER LABEL","A4 ST4","Not separately stated; named options retained as source product blocks","5.5” X 4”","Self Adhesive Label Sheets; Sheet Size A4 Label Size : 5.5” X 4”; diagram: 139mm and 99.1mm; Boundrie For Easy Peel","Not separately stated","Not stated","15","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text","Diagram wording and metric dimensions come from embedded illustration; verify relationship to inch copy"
"CAT-021","STICKER LABEL","A4 ST40","Not separately stated; named options retained as source product blocks","2” X 1”","Self Adhesive Label Sheets Sheet Size A4 Label Size : 2” X 1”; illustration: SELF ADHESIVE LABEL A4; 40 Labels; 100 Sheets","Not separately stated","Not stated","15","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text","Illustration packaging count is not verified MOQ"
"CAT-022","No dedicated section title; after STICKER LABEL","POS THEMAL BILLING ROLL","Not separately stated; named options retained as source product blocks","(57MM X 15MTR)","Not stated","Not separately stated","Not stated","16","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text","THEMAL spelling preserved; Stationery Products mapping requires confirmation"
"CAT-023","Tapes","TRANSPARENT TAPE","Not separately stated; named options retained as source product blocks","(2inch×65mtr) – 42 Micron; (2inch×150mtr) – 38 Micron","42 Micron; 38 Micron","Not separately stated","Not stated","18","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
